country_of_incidence,sub_region,incidence_datetime,incident_details,culprit_vessel_entity,victim_vessel_entity,type_of_incident__piracy,location_lat,location_lon
CI,EEZ,2015-08-22 14:37:39.061624+00:00,I am detail 1,,627772013,kidnap,0.270618,5.458542
GH,Territorial waters,2017-08-22 14:37:39.061624+00:01,I am detail 2,,624722013,kidnap,0.636043,4.888522
LR,Ports/Anchorage,2018-08-22 14:37:39.061624+00:02,I am detail 3,627979013,627792013,,0.605097,5.076753
TG,EEZ,2022-08-22 14:37:39.061624+00:03,I am detail 4,,627979013,armed robbery,0.59927,5.081002
CI,Territorial waters,2019-08-22 14:37:39.061624+00:04,I am detail 5,,627772099,armed robbery,0.586478,5.088578
GH,EEZ,2022-08-22 14:37:39.061624+00:05,I am detail 6,627979014,628184582,armed robbery,0.640577,5.037785
LR,Territorial waters,2022-08-22 14:37:39.061624+00:06,I am detail 7,,628510299,,0.625157,5.057208
TG,Ports/Anchorage,2015-08-22 14:37:39.061624+00:07,I am detail 8,,628836016,,0.670998,4.998688
CI,EEZ,2017-08-22 14:37:39.061624+00:08,I am detail 9,,629161733,,0.66936,5.000913
GH,Territorial waters,2018-08-22 14:37:39.061624+00:09,I am detail 10,,629487451,vessel hijacking,0.664488,5.007242
LR,Ports/Anchorage,2022-08-22 14:37:39.061624+00:10,I am detail 11,627979015,629813168,vessel hijacking,0.650643,5.024785
TG,EEZ,2019-08-22 14:37:39.061624+00:11,I am detail 12,,630138885,theft,0.698297,4.960587
CI,Territorial waters,2022-08-22 14:37:39.061624+00:12,I am detail 13,,630464602,,0.690777,4.9718
GH,EEZ,2022-08-22 14:37:39.061624+00:13,I am detail 14,627979016,630790319,suspicious approach,0.689253,4.97409
LR,Territorial waters,2015-08-22 14:37:39.061624+00:14,I am detail 15,,631116037,suspicious approach,0.132238,5.675733
TG,Ports/Anchorage,2017-08-22 14:37:39.061624+00:15,I am detail 16,,631441754,suspicious approach,0.13202,5.675557
CI,EEZ,2018-08-22 14:37:39.061624+00:16,I am detail 17,,631767471,,0.131808,5.675392
GH,Territorial waters,2022-08-22 14:37:39.061624+00:17,I am detail 18,,632093188,attempted,0.13094,5.67482
LR,Ports/Anchorage,2019-08-22 14:37:39.061624+00:18,I am detail 19,627979017,632418905,others,0.097602,5.64865
TG,EEZ,2022-08-22 14:37:39.061624+00:19,I am detail 20,,632744623,,0.097547,5.648765
CI,Territorial waters,2022-08-22 14:37:39.061624+00:20,I am detail 21,,633070340,,0.097525,5.648858
GH,EEZ,2015-08-22 14:37:39.061624+00:21,I am detail 22,627979018,633396057,,0.097445,5.649132
LR,Territorial waters,2017-08-22 14:37:39.061624+00:22,I am detail 23,,633721774,kidnap,0.097972,5.648722
TG,Ports/Anchorage,2018-08-22 14:37:39.061624+00:23,I am detail 24,,634047491,kidnap,0.097858,5.648515
CI,EEZ,2022-08-22 14:37:39.061624+00:24,I am detail 25,,634373209,,0.097678,5.648537
GH,Territorial waters,2019-08-22 14:37:39.061624+00:25,I am detail 26,,634698926,armed robbery,0.097653,5.648548
LR,Ports/Anchorage,2022-08-22 14:37:39.061624+00:26,I am detail 27,627979019,635024643,armed robbery,0.093672,5.649468
TG,EEZ,2022-08-22 14:37:39.061624+00:27,I am detail 28,,635350360,armed robbery,0.093645,5.649883
CI,Territorial waters,2015-08-22 14:37:39.061624+00:28,I am detail 29,,635676077,,0.093593,5.651145
GH,EEZ,2017-08-22 14:37:39.061624+00:29,I am detail 30,627979020,636001795,,0.190018,5.094793
LR,Territorial waters,2018-08-22 14:37:39.061624+00:30,I am detail 31,,636327512,,0.210977,5.130955
TG,Ports/Anchorage,2022-08-22 14:37:39.061624+00:31,I am detail 32,,636653229,vessel hijacking,0.204813,5.118528
CI,EEZ,2019-08-22 14:37:39.061624+00:32,I am detail 33,,636978946,vessel hijacking,0.20274,5.114273
GH,Territorial waters,2022-08-22 14:37:39.061624+00:33,I am detail 34,,637304663,theft,0.199682,5.108003
